"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Cuba","CUB","Población de 65 años de edad y más, total","SP.POP.65UP.TO","332192","344324","355113","365955","379138","395845","413324","435407","460456","485658","509644","537249","562362","585901","609921","635428","660458","687101","714368","739962","762724","787027","806653","823599","841069","860765","873480","888480","904801","920906","936224","950171","964482","978657","992303","1005506","1024580","1041390","1057650","1075737","1096909","1121145","1148135","1177154","1206618","1235808","1272105","1307782","1343134","1378740","1415180","1448337","1480616","1513983","1551157","1593751","1640041","1692572",
"Curacao","CUW","Población de 65 años de edad y más, total","SP.POP.65UP.TO","6080","6065","6087","6097","6073","6006","6227","6443","6716","7038","7411","7735","7956","8090","8293","8405","8567","8700","8745","8829","8953","9151","9387","9580","9760","9938","10246","10475","10629","10759","10928","11148","11417","11774","12141","12536","13091","13612","13848","13838","13755","13689","14140","14903","15681","16661","17301","17920","18470","18961","19605","20456","21244","22194","23294","24484","25433","26353",
"Islas Caimán","CYM","Población de 65 años de edad y más, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Población de 65 años de edad y más, total","SP.POP.65UP.TO","33822","35193","36453","37214","37474","37643","41590","46216","51256","56482","61823","62340","62719","62948","63077","63184","63628","63963","64170","64213","64089","65210","66219","67178","68163","69265","70078","71179","72571","74179","75945","77739","79644","81737","84041","86533","88328","90219","92215","94305","96488","98728","101177","103986","107182","110634","113767","116900","120112","123478","127029","131233","135523","139922","144419","148987","153570","158254",
"República Checa","CZE","Población de 65 años de edad y más, total","SP.POP.65UP.TO","898335","919992","946628","974641","1005187","1037058","1072490","1107486","1141231","1172626","1193909","1217948","1244391","1268242","1292637","1318112","1347794","1378887","1404360","1413537","1397205","1369672","1326167","1275263","1233697","1210801","1221300","1243802","1272454","1297642","1310291","1327000","1342584","1353680","1360886","1364999","1381197","1396364","1409021","1416512","1415366","1420027","1419872","1419210","1422585","1434022","1456630","1489375","1531139","1573870","1617091","1669458","1725594","1782669","1840599","1897715","1958234","2015201",
"Alemania","DEU","Población de 65 años de edad y más, total","SP.POP.65UP.TO","8354776","8574950","8794097","9014450","9232343","9469694","9726565","9950127","10172773","10428824","10635312","10879399","11146088","11383178","11570539","11685210","11876119","12052054","12190192","12260803","12250582","12176565","11977180","11713369","11468981","11313454","11293877","11352947","11480483","11658094","11832534","12034957","12235345","12412680","12532777","12626379","12831941","12976482","13098790","13276647","13542602","13904742","14337991","14789143","15203083","15551297","15908293","16201243","16432626","16618385","16798295","16602812","16717230","16836093","16991714","17250222","17515239","17740742",
"Djibouti","DJI","Población de 65 años de edad y más, total","SP.POP.65UP.TO","1936","2045","2182","2343","2525","2724","2907","3108","3336","3579","3845","4072","4313","4613","4994","5489","5945","6523","7165","7818","8447","8914","9290","9662","10112","10703","11460","12367","13357","14342","15274","15914","16408","16816","17218","17668","18362","19118","19925","20752","21583","22431","23270","24111","24967","25856","26819","27804","28839","29947","31145","32492","33912","35358","36739","38027","39216","40316",
"Dominica","DMA","Población de 65 años de edad y más, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dinamarca","DNK","Población de 65 años de edad y más, total","SP.POP.65UP.TO","485558","496360","507842","519509","531113","542498","555835","568910","580905","592714","606042","622242","637315","652326","666245","678826","692370","705765","718490","729760","739011","748002","754925","760745","766276","772454","781467","789290","795094","799176","802053","803431","803595","802201","799531","797375","798705","798155","796723","794823","793134","797505","801279","805507","811818","821190","836744","855150","876805","900114","924671","948797","977943","1012164","1048006","1082558","1113001","1135300",
"República Dominicana","DOM","Población de 65 años de edad y más, total","SP.POP.65UP.TO","84878","87997","91094","94204","97360","100609","104501","108440","112444","116538","120753","125659","130610","135666","140876","146296","152426","158694","165126","171750","178578","186809","195112","203601","212432","221715","232946","244593","256651","269063","281825","296233","310732","325455","340628","356410","372426","388794","405492","422402","439497","457200","474704","491900","508609","524788","539956","554695","569464","584805","601162","618760","637103","656543","677537","700420","725227","751592",
"Argelia","DZA","Población de 65 años de edad y más, total","SP.POP.65UP.TO","358352","377106","397838","418720","437532","453213","467074","478299","488373","499121","511513","530135","549591","568714","586001","600855","615716","628299","639846","652048","665890","685097","706065","727427","747298","764903","786213","806178","826353","848984","875546","906552","939891","975658","1014115","1055601","1107347","1163759","1224122","1287003","1351831","1410177","1467841","1525700","1584372","1644331","1706480","1769150","1833688","1901603","1974624","2031357","2092314","2160676","2241970","2340373","2444823","2566152",
